"predictor","IRR","ci_low","ci_high","cluster_label","cluster","p_IRR_gt_1","vulnerability_score","n.x","svi_score","poverty_rate","pct_white","pct_black","pct_asian","pct_hispanic","median_income","education_low","pct_age17","pct_age65","uninsured_rate","language_isolation","disability_rate","outdoor_worker_rate","renter_burden_rate","housing_overcrowding","alt_housing_rate","n.y"
"cluster",5.1069087490514,4.6089789594309,5.65863882578895,"White / Older / Low income",2,1,0.462003897476549,145,0.2836,0.220161673799334,0.830022075055188,0,0,0.0502392344497608,40469,0.103207810320781,0.148148148148148,0.263508512213175,0.0767025089605735,0,0.208333333333333,0.154150197628458,0.490909090909091,0,0.196330455259027,145
"cluster",3.45006798166915,3.01974446802203,3.94172784123432,"Hispanic & White / Low income",9,1,0.651263683634373,42,0.66845,0.213326728749752,0.476679854546618,0.00424378315533757,0.00372453633323199,0.435983956138,44325,0.264238645809718,0.226361981165924,0.15755813533371,0.120925982333232,0.0851622871080124,0.175467155266435,0.212111801242236,0.417090024799557,0,0.198205711791482,42
"cluster",3.17959028165887,2.76125320971796,3.66130772492631,"White / Mid-low income",22,1,0.529721994161649,42,0.4032,0.104140732705582,0.69130122292522,0,0.00686102950165205,0.228753351303514,62685,0.152436144135006,0.22335965837687,0.184037270951926,0.106478631562532,0.0509940788241902,0.139769631614048,0.20521402869293,0.347396679966504,0,0.13058841603933,42
"cluster",2.86256855722659,2.23896906543952,3.65986646350824,"Hispanic / Mid-low income",11,1,0.51981561302682,32,0.20145,0.140804597701149,0.346679719366944,0,0,0.520797614337422,58231,0.250877558305569,0.220397904276409,0.0968005295675199,0.0249221183800623,0.0663293453760187,0.116279069767442,0.1485966319166,0.158415841584158,0,0.0270164090557352,32
"cluster",2.69097117659172,2.35616115338168,3.07335493696731,"White / Older / Mid-high income",13,1,0.28268105018529,122,0.0468,0.0369821642258818,0.940698972099853,0,0,0.0126989246228117,86100,0.00660811369517046,0.0652154764002038,0.25822722795476,0.00630926783926941,0,0.110841172563053,0.12,0.219653179190751,0,0.00517905983376195,122
"cluster",2.63977625312138,2.4195006860304,2.88012007764348,"White / Older / Mid-low income",6,1,0.450643908045977,125,0.3667,0.127031908488862,0.835761181780878,0.0040127069051998,0.0120627261761158,0.0924722163975676,58662.5,0.0693503387803906,0.173065204143815,0.262452107279693,0.0609094905485273,0.00706953321712183,0.169398907103825,0.124792604882674,0.513110078277886,0,0.10679719657359,125
"cluster",2.42791587123352,2.17021938164064,2.71624748159046,"White / Low income",1,1,0.550477558839628,49,0.676,0.19723047196479,0.694115391987732,0.0187823834196891,0.0173210723495353,0.191759826902272,42332,0.134484228473998,0.207613988490483,0.202196382428941,0.0785028155018218,0.0204370382015406,0.200893320868391,0.120157279981496,0.535211267605634,0,0.148837209302326,49
"cluster",2.0780163811897,1.56523119968466,2.75877836745679,"White / Older / Mid-high income",19,0.99999979170814,0.446734913793103,8,0.3038,0.12007874015748,0.689351754292462,0.0600686032662809,0.0149819472107474,0.171635589605034,69265,0.0754439178448061,0.0718950908245555,0.302482406246987,0.0376856118791603,0.0344551873198541,0.17257217847769,0.0857142857142857,0.616564417177914,0,0.0351437699680511,8
"cluster",1.76196865716645,1.60872051211669,1.92983808837663,"Hispanic / Younger / Low income",3,1,0.746078691423519,104,0.84885,0.248028655281729,0.160241432563628,0.00269917439467172,0.0101186860164248,0.801719674266079,43574,0.430204298625351,0.316927051386093,0.101097259499681,0.115685352248945,0.211758561037231,0.103993005104886,0.338286479250335,0.499440715883669,0.00515959793325755,0.0754363989405446,104
"cluster",1.56994733182354,1.42493065629499,1.72973942163691,"White / Mid-high income",12,1,0.541049721351445,66,0.45875,0.108840094824359,0.590010973451732,0.00837251322402729,0.0289440309307383,0.319167985978271,74680,0.141193891007803,0.221505420989849,0.160780865256226,0.0771878703631715,0.0612758541541257,0.112556374932662,0.139789793097853,0.46884604192341,0.00279740937429222,0.0602850968686334,66
"cluster",1.42229980212357,1.26748700102398,1.59602989646168,"White / Older / High income",14,0.99999999897745,0.344669449866262,53,0.1591,0.0812691914022518,0.809915566139857,0.0066079295154185,0.0233220580380986,0.111587982832618,91313,0.0426265012797795,0.180295526834964,0.22540068979509,0.0546385885031303,0.00900975367829393,0.105015760659183,0.0910671100362757,0.466304616144162,0,0.0236856516976999,53
"cluster",1.15875760237432,0.993147037320033,1.35199041825164,"Mixed racial composition / Mid-low income",21,0.96949676647647,0.499823232323232,22,0.78245,0.228573323165678,0.360901666390034,0.135006126497674,0.221389174534916,0.201939553805555,51250,0.1634821799642,0.0911258594294746,0.150566018337408,0.0906207696770451,0.130022645475306,0.168733681462141,0.0304285568170195,0.47563025210084,0.0134265075376884,0.00120288692862871,22
"cluster",1.07074668219531,0.975079091170846,1.1758111896523,"Hispanic & White / Mid-low income",15,0.923941525804432,0.624054671382258,65,0.8205,0.211955799770545,0.385568862275449,0.0653649956024626,0.0457390023927848,0.41548349155675,49793,0.193129847889594,0.258524643882881,0.126025946518401,0.0862981686379245,0.0636515158340466,0.141382049245433,0.104902590451723,0.528968903436989,0.0040499965086237,0.0467562160617319,65
"cluster",1,1,1,"White / High income",24,NA,0.26268275862069,100,0.1506,0.048053272865874,0.721239705329239,0.0148899584172199,0.104912667893439,0.0885899597416264,131243,0.0270646057183489,0.213809180771914,0.180210481205521,0.0271905020940529,0.0173486904142548,0.0794545119436564,0.0380011097739638,0.446000593650188,0,0.00213686455930806,100
"cluster",0.962813936151823,0.875396021279906,1.05896095950027,"White / High income",25,0.217492473269558,0.366586175998023,62,0.32285,0.0660341964219504,0.669757035447022,0.0148014198935421,0.0957372665667654,0.177460539493099,101789.5,0.0612681005149246,0.19847208151528,0.188007866647999,0.0442081723843852,0.0275860553312517,0.0985981079471935,0.0648980232622771,0.486508032702712,0.000673858519776505,0.0183372723453753,62
"cluster",0.95795689951824,0.872905763059114,1.05129999018592,"White / Mid-high income",7,0.182501379482967,0.465280208154629,67,0.5608,0.111522001080317,0.621061808561809,0.0255190813130727,0.0632296746680178,0.226650943396226,72933,0.0863380097023732,0.208556282203726,0.154466243850394,0.0667213619115988,0.0362953346407756,0.116786087666063,0.0724284499858317,0.523762267063623,0.00207014125669752,0.0278803931135429,67
"cluster",0.953744746627974,0.856657922213146,1.06183639095776,"White / Mid-high income",18,0.193513742665766,0.349485588645071,44,0.4474,0.119419431017972,0.597242121873559,0.0519928966913576,0.116412010902812,0.153630456282334,79450,0.0552867046280747,0.142461087558058,0.138404404460798,0.063870489339889,0.0374237804878049,0.101214827547179,0.028750633370243,0.496452277392342,0.00219411843831495,0.00156615502972617,44
"cluster",0.874971250478343,0.806196416905558,0.949618274453568,"Hispanic / Younger / Low income",5,0.000689031928722161,0.732737315143052,107,0.9567,0.280592916528947,0.0918093280706262,0.081975301680388,0.0390809112333071,0.666894664842681,39984,0.393419335022652,0.286663834678528,0.0875961421071908,0.141801325082544,0.196445746585579,0.113006625935806,0.101703534197813,0.600293818510566,0.0188548693997578,0.0118417888915605,107
"cluster",0.846621312119598,0.780290253928681,0.918592649915333,"Hispanic / Mid-high income",16,3.14403815416808e-05,0.544304871373837,105,0.6433,0.112760435615707,0.296422014431493,0.0473646856673266,0.138227337824219,0.410845706907682,75969,0.15837366892546,0.226746290264206,0.122572028238886,0.0784551039480336,0.0811129787918887,0.0978260869565217,0.0707081861012956,0.520402611534276,0.00609756097560976,0.0237543453070684,105
"cluster",0.82571466166585,0.731708429679279,0.931796984437711,"Mixed racial composition / Mid-low income",10,0.000945143883962274,0.583006704980843,30,0.8003,0.160717872093038,0.153361532780343,0.0232029071854394,0.306053937912906,0.298615561853102,55178.5,0.197593414567251,0.182056057439493,0.159478391380225,0.094392433041329,0.188977427610302,0.121420276970076,0.0560071599918762,0.59179682164874,0.00541214590286758,0.00409326179639993,30
