"predictor","IRR","ci_low","ci_high","cluster_label","cluster","p_IRR_gt_1","vulnerability_score","n.x","svi_score","pct_white","pct_black","pct_asian","pct_hispanic","pct_age17","pct_age65","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","vehicle_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate","renter_rate","no_phone_rate","elderly_alone_rate","alt_housing_rate","old_housing_rate","n.y"
"cluster",1.06544460132516,0.915877341617495,1.23943513281012,"White / Older / Low income",6,0.794398731230511,0.482426874657909,120,0.3661,0.825119906068964,0,0,0.0616729816380064,0.146169711013057,0.262045419671628,0.219560878243513,41250,0.0882352941176471,0.10223544573824,0.0811594202898551,0.0376800886590321,0,0.207865168539326,0,0.25629290617849,0.481481481481481,0.158798283261803,0.273134328358209,0.0223880597014925,0.308790285184326,0.165137614678899,0.603351955307263,120
"cluster",1,1,1,"White / Older / High income",28,NA,0.296039338993117,47,0.1532,0.809515969706948,0.00928571428571429,0.0613269674020415,0.0746268656716418,0.190836338052942,0.229891680110625,0.0572616602374631,129727,0.0434147359632645,0.0233983286908078,0.024695423114916,0.0419019857897613,0.0114771202861827,0.0854728500384102,0,0.333693410586271,0.455188679245283,0.0439346228819913,0.307218083740046,0.0116375727348296,0.24855097170133,0.00284757118927973,0.745876204474931,47
"cluster",0.847445948801835,0.70273620827018,1.02195573328754,"Hispanic & White / Low income",13,0.0415062917758764,0.654874355925485,29,0.6702,0.406705539358601,0.000403388463089956,0.00399201596806387,0.493421052631579,0.256158813680938,0.145510835913313,0.176808266360505,44325,0.0858524788391778,0.288758265980896,0.119402985074627,0.0462351387054161,0.123287671232877,0.151020967520899,0,0.268817204301075,0.414634146341463,0.283068783068783,0.434258142340169,0.00241254523522316,0.222641509433962,0.181585677749361,0.662650602409639,29
"cluster",0.725572431217502,0.581599922101905,0.905187200547137,"Hispanic / Mid-low income",7,0.00222717754724344,0.560037000547345,45,0.3216,0.305949008498584,0,0,0.571428571428571,0.257142857142857,0.0872274143302181,0.174192094908207,52070.5,0.0330855823351133,0.302835051546392,0.0952407614781635,0,0.126126126126126,0.0941390538211071,0,0.205128205128205,0.293103448275862,0.268370607028754,0.568846815834768,0,0.245283018867925,0.0778210116731518,0.674698795180723,45
"cluster",0.678986160944957,0.580260632703763,0.7945147209203,"White / Low income",12,6.77258768067013e-07,0.573343185550082,49,0.6836,0.686157771635126,0.0140460397971128,0.0126374101964858,0.19363618938087,0.211871393239901,0.206328621449877,0.19723047196479,41989,0.095356442119032,0.140443505807814,0.0848861283643892,0.0716393882479206,0.026355421686747,0.201857744904103,0,0.30188679245283,0.527044025157233,0.136764470097803,0.367591829257122,0.0199004975124378,0.31140350877193,0.176599749058971,0.590643274853801,49
"cluster",0.569411494643668,0.474273807473709,0.68363513960231,"White / Mid-low income",27,7.6914452584731e-10,0.531832858007087,38,0.52135,0.64776182258926,0,0.00543265768335911,0.293623790155538,0.234502316122472,0.173695246971109,0.128525641025641,62171,0.0712701734395372,0.168974651819422,0.0973852252119253,0.0225796199878288,0.0527730177957672,0.139769631614048,0,0.241013217541894,0.369792094666776,0.199285714285714,0.339576121742538,0.0110837312501917,0.223689345991561,0.123894146816783,0.57311378560268,38
"cluster",0.565874901012239,0.49078276150837,0.652459029058602,"White / Older / Mid-low income",11,2.22044604925031e-15,0.457076442361344,103,0.4099,0.819973718791064,0.00438247011952191,0.0133732407820162,0.104810996563574,0.174863387978142,0.245437616387337,0.127721335268505,57813,0.0590405904059041,0.079934127185204,0.0605315716699954,0.0400550757291276,0.00775193798449612,0.169987349778621,0,0.305361023907269,0.511627906976744,0.116666666666667,0.26256157635468,0.0154862688416271,0.241457858769932,0.108552631578947,0.512761020881671,103
"cluster",0.461473501888494,0.34102876973106,0.624456798403192,"White / Older / Mid-high income",30,2.66987094765803e-07,0.401490558292282,8,0.4105,0.693677388606051,0.0135057952318585,0.115042337170404,0.138700151374236,0.121823448136481,0.380778919761923,0.111885336269119,77509.5,0.0382318402530312,0.0602525099544199,0.0263835554314484,0.10545550946341,0.0565104399252876,0.177117902143141,0,0.333376101493977,0.652547378704706,0.0425613931029051,0.250111973913842,0,0.349867144519157,0.00619470092171263,0.592760881197304,8
"cluster",0.451733827733789,0.375542755256488,0.543390372165376,"Hispanic & White / Younger / Low income",19,0,0.654343513957307,25,0.8205,0.364166059723234,0.0587720128763492,0.0199511400651466,0.459074733096085,0.261374636979671,0.157135814641361,0.238301478203559,45069,0.11545212247286,0.232196524238861,0.0979222382225879,0.0662337662337662,0.0525664811379097,0.153918984620896,0.00574241181296144,0.31413612565445,0.516194331983806,0.125925925925926,0.346161920089567,0.0279290356578254,0.277590469768487,0.226887192536047,0.399961962723469,25
"cluster",0.437028593266292,0.374365711812822,0.510180033369016,"White / Older / Mid-high income",18,0,0.353753489326765,80,0.143,0.844609026745914,0.00202270034898985,0.0133080378464382,0.0740917200067909,0.153557039866352,0.256642736862361,0.0766294759422965,85030,0.0375009687669534,0.0374774505329796,0.0453411343422024,0.0165387916512923,0.00319226277922176,0.119418067744616,0,0.327804284956078,0.461538461538462,0.111946532999165,0.204637663504044,0.00932394497789518,0.195236877982277,0.0370131458443546,0.536535375611064,80
