"GEOID","cluster","cluster_label","total_pop","pct_white","pct_black","pct_asian","pct_hispanic","median_age","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate"
"93308",1,"White / Mid-low income",53702,0.673606197162117,0.0213399873375293,0.0135376708502477,0.242821496406093,34.6,0.242708772467712,43659,0.121171829987147,0.173578367323752,0.0930135001144077,0.0202915522532709,0.187418961177637,0.00632260717590213,0.29005400540054,0.555934128336173,0.157950476574714
"93060",2,"Hispanic / Younger / Low income",34181,0.187267780345806,0.00213568941809777,0.0137503291302185,0.780082501974781,33,0.145563399160039,58352,0.0796993415331097,0.340589481795415,0.129057798891528,0.19384155835902,0.115157913257676,0.0103989601039896,0.328851540616246,0.57447266465777,0.21106986162673
"93960",2,"Hispanic / Younger / Low income",26610,0.14227733934611,0.0810597519729425,0.0194663660278091,0.726118000751597,36.1,0.138359803312044,58981,0.037568306010929,0.419739456833738,0.111498649864987,0.201723101582849,0.0682380738073807,0.0183778485665278,0.264096185737977,0.52486518873577,0.328459900638751
"93235",2,"Hispanic / Younger / Low income",4198,0.157932348737494,0,0,0.836827060505002,33.1,0.312529776083849,33441,0.104895104895105,0.462890625,0.107193901858028,0.201161029782938,0.146021915197713,0,0.359598853868195,0.544789762340037,0.301432291666667
"93622",2,"Hispanic / Younger / Low income",10395,0.116113516113516,0.00240500240500241,0.000577200577200577,0.88042328042328,30.2,0.242039442039442,42399,0.143155694879833,0.504353650368386,0.142568542568543,0.286175643296177,0.103222703222703,0,0.210617928633594,0.447037701974865,0.414146341463415
"90018",3,"Hispanic / Younger / Low income",53256,0.0533085473937209,0.284268439236893,0.0489522307345651,0.595500976415803,34.4,0.230392530487805,41768,0.0841848968901022,0.307011514005843,0.16934184843374,0.18367470000603,0.107316795846046,0.0269694386947522,0.433947157726181,0.607874015748031,0.0849546827794562
"96057",4,"White / Older / Mid-low income",1299,0.863741339491917,0.000769822940723634,0,0.0946882217090069,53.7,0.165758754863813,40469,0.131274131274131,0.0591039084842707,0.0508083140877598,0,0.210161662817552,0,0.211618257261411,0.449275362318841,0.24
"94952",5,"White / Older / Mid-high income",36184,0.735103913331859,0.00953460092858722,0.0197048419190803,0.192294936988724,43.2,0.0882095329584946,84772,0.0429615147149619,0.0926781252366169,0.0623585332729742,0.0462719741361891,0.0944148936170213,0.00415270289960659,0.304453638354831,0.489651416122004,0.123541745067469
"94127",6,"White / High income",21423,0.483545721887691,0.0274471362554264,0.326985016104187,0.104887270690379,44.8,0.0478823088455772,158162,0.0387192203950231,0.0426459438968916,0.0337983334893737,0.0466525444603182,0.101769497238086,0,0.250208507089241,0.278464541314249,0.0388305575669805
"96034",7,"White / Older / Low income",236,0.809322033898305,0,0.00423728813559322,0.101694915254237,49.8,0.283898305084746,33125,0.333333333333333,0.121052631578947,0.110169491525424,0,0.13135593220339,0,0.26984126984127,0.709677419354839,0.224137931034483
"93620",2,"Hispanic / Younger / Low income",8889,0.252559343008212,0.0240746990662617,0.0102373720328496,0.667004162447969,33.1,0.19851032614829,42484,0.120337250894226,0.355105795768169,0.0929917616521837,0.156399852452969,0.100665839070082,0.0123849964614296,0.299477655252467,0.42611060743427,0.290153935521348
"90301",3,"Hispanic / Younger / Low income",37291,0.0398755731946046,0.314311764232657,0.0178327210318844,0.594084363519348,34.9,0.197629845589029,44135,0.0953070084763283,0.296824874557868,0.126861242986621,0.154885474050449,0.132256150194217,0.0150791034937376,0.37664,0.597602929752525,0.0570726691042048
"96120",7,"White / Older / Low income",1044,0.574712643678161,0,0.00383141762452107,0.0900383141762452,44.5,0.190613026819923,59625,0.186868686868687,0.119828815977175,0.10536398467433,0.00597014925373134,0.205938697318008,0,0.429824561403509,0.179487179487179,0.108695652173913
"93643",8,"White / Mid-low income",2960,0.658783783783784,0,0.0243243243243243,0.196959459459459,49.5,0.168581081081081,60445,0.0609225413402959,0.108548168249661,0.0976351351351351,0.00710984713828653,0.151351351351351,0,0.195413758723829,0.460629921259843,0.0936051899907322
"96080",9,"White / Older / Mid-low income",28487,0.764243339066943,0.00972373363288517,0.0194474672657703,0.156913679924176,42.8,0.19723047196479,41617,0.0944647563982655,0.102111775834739,0.0693688888888889,0.014288393024564,0.231217777777778,0.00116738505747126,0.300779458963778,0.542782495101241,0.12075117370892
"95458",8,"White / Mid-low income",3019,0.710500165617754,0.0291487247432925,0.00298111957601855,0.144418681682676,37.2,0.198322147651007,41579,0.052901023890785,0.168987929433612,0.0785028155018218,0.0396796505278486,0.182510765154025,0,0.342857142857143,0.607798165137615,0.136936936936937
"93254",10,"White & Hispanic / Mid-low income",858,0.402097902097902,0.00815850815850816,0.0034965034965035,0.568764568764569,27.9,0.166666666666667,54444,0.062111801242236,0.186991869918699,0.113053613053613,0.0956072351421189,0.111888111888112,0,0.140127388535032,0.414634146341463,0.645695364238411
"95835",6,"White / High income",40101,0.341737113787686,0.14912346325528,0.25430787262163,0.173337323258772,37.2,0.0587691230876912,96743,0.040661451257788,0.0795156113218558,0.0485630820703603,0.0508188951498236,0.0737060248183566,0.0012568386810587,0.289605734767025,0.390806826997673,0.0591337467649788
